Nummer;Navn;;;;;;;;;;;;;
;;Født ;;;;Død;;;Regeringsperiode ;;;;;
;;År;Måned;Dag;Samlet dato ;År ;Måned;Dag;Start;Slut;Samlet antal år;Middelår;;
1;Gorm den gamle ;936;-;-;;958;-;-;936;958;22;947;Jellingkonge;
2;Harald Blåtand;-;-;-;;987;-;-;958;987;29;973;Jellingkonge;
3;Svend Tveskæg;-;-;-;;1014;-;-;987;1014;27;1001;Jellingkonge;
4;Harald Svensen;-;-;-;;1018;-;-;1014;1018;4;1016;Jellingkonge;
5;Knud den store;995;-;-;;1035;-;-;1018;1035;17;1027;Jellingkonge;
6;Hardeknud;1020;-;-;;1042;-;-;1035;1042;7;1039;Jellingkonge;
7;Magnus den gode;1024;-;-;;1047;-;-;1042;1047;5;1045;Jellingkonge;
8;Svend Estridsen ;-;-;-;;1076;4;28;1047;1074;27;1061;Jellingkonge;
9;Harald Hén ;-;-;-;;1080;-;-;1074;1080;6;1077;Jellingkonge;
10;Knud den hellige ;-;-;-;;1086;7;10;1080;1086;6;1083;Jellingkonge;
11;Oluf Hunger;-;-;-;;1095;-;-;1086;1095;9;1091;Jellingkonge;
12;Erik Ejegod ;1056;-;-;;1103;-;-;1095;1103;8;1099;Jellingkonge;
13;Niels ;-;-;-;;1134;-;-;1104;1134;30;1119;Jellingkonge;
14;Erik Emmune;-;-;-;;1137;7;18;1134;1137;3;1136;Jellingkonge;
15;Erik Lam ;-;-;-;;1146;8;27;1137;1146;9;1142;Jellingkonge;
16;"Svend Grathe ; Knud Magnussen ;Valdemar den første";-;-;-;;1157;-;-;1146;1157;11;1152;Jellingkonge;
17;Valdemar den første;1131;-;-;;1182;-;-;1157;1182;25;1170;Jellingkonge;
18;Knud Magnussen ;1163;-;-;;1202;-;-;1182;1202;20;1192;Jellingkonge;
19;Valdemar den anden ;1170;-;-;;1241;-;-;1202;1241;39;1222;Jellingkonge;
20;Erik Plovpenning;1216;-;-;;1250;-;-;1241;1250;9;1246;Jellingkonge;
21;Abel;1218;-;-;;1252;-;-;1250;1252;2;1251;Jellingkonge;
22;Christoffer den første;1219;-;-;;1259;-;-;1252;1259;7;1256;Jellingkonge;
23;Erik Klipping;1249;-;-;;1286;-;-;1259;1286;27;1273;Jellingkonge;
24;Erik Menved;1274;-;-;;1319;-;-;1286;1319;33;1303;Jellingkonge;
25;Christoffer den anden ;1276;-;-;;1332;-;-;1320;1326;6;1323;Jellingkonge;
26;Valdemar den tredje ;1315;-;-;;1364;-;-;1326;1330;4;1328;Jellingkonge;
27;Christoffer den anden ;;-;-;;1332;-;-;1330;1332;2;1331;Jellingkonge;
;Interregnum ;;-;-;;;-;-;1332;1340;8;1336;;
30;Valdemar Atterdag;1320;-;-;;1375;-;-;1340;1375;35;1358;Jellingkonge;
31;Oluf den anden ;1370;-;-;;1387;-;-;1376;1387;11;1382;Jellingkonge;
32;Margrete den første;1353;-;-;;1412;10;28;1387;1412;25;1400;Jellingkonge;
33;Erik af Pommeren ;1382;-;-;;1459;-;-;1412;1439;27;1426;Jellingkonge;
34;Christoffer den tredje af Bayern ;1416;-;-;;1448;-;-;1440;1459;19;1450;Jellingkonge;
35;Christian den første;1426;-;-;;1481;5;21;1459;1481;22;1470;Den oldenborgske slægt ;
36;Hans;1455;02;02;;1513;2;20;1481;1513;32;1497;Den oldenborgske slægt ;
37;Christian den anden ;1481;07;01;;1559;1;25;1513;1523;10;1518;Den oldenborgske slægt ;
38;Frederik den første ;1471;10;07;;1533;4;10;1523;1533;10;1528;Den oldenborgske slægt ;
;Interregnum ;;;;;;;;1533;1534;1;1534;;
39;Christian den tredje;1503;08;12;;1559;1;1;1534;1559;25;1547;Den oldenborgske slægt ;
40;Frederik den anden ;1534;7;01;;1588;4;4;1559;1588;29;1574;Den oldenborgske slægt ;
41;Christian den fjerde ;1577;4;12;;1648;2;28;1588;1648;60;1618;Den oldenborgske slægt ;
42;Frederik den tredje ;1609;3;18;;1670;2;9;1648;1670;22;1659;Den oldenborgske slægt ;
43;Christian den femte ;1646;4;15;;1699;8;25;1670;1699;29;1685;Den oldenborgske slægt ;
44;Frederik den fjerde ;1671;10;11;;1730;10;12;1699;1730;31;1715;Den oldenborgske slægt ;
45;Christian den sjette ;1699;11;30;;1746;8;6;1730;1746;16;1738;Den oldenborgske slægt ;
46;Frederik den femte ;1723;3;31;;1766;1;14;1746;1766;20;1756;Den oldenborgske slægt ;
47;Christian den syvende ;1749;01;29;;1808;3;13;1766;1808;42;1787;Den oldenborgske slægt ;
48;Frederik den sjette ;1768;1;28;;1839;12;3;1808;1839;31;1824;Den oldenborgske slægt ;
49;Christian den ottende ;1786;9;18;;1848;1;20;1839;1848;9;1844;Den oldenborgske slægt ;
50;Frederik den syvende ;1808;10;06;;1863;11;15;1848;1863;15;1856;Den oldenborgske slægt ;
51;Christian den niende ;1818;4;08;;1906;1;29;1863;1906;43;1885;Den glücksborgske slægt;
52;Frederik den ottende ;1843;6;03;;1912;5;14;1906;1912;6;1909;Den glücksborgske slægt;
53;Christian den tiende ;1870;9;26;;1947;4;20;1912;1947;35;1930;Den glücksborgske slægt;
54;Frederik den niende ;1899;3;11;28;1972;1;14;1947;1972;25;1960;Den glücksborgske slægt;
55;Margrethe den anden ;1940;4;16;31;-;;;1972;-;-;-;Den glücksborgske slægt;
Samlet antal konger og dronninger ;53;;;;;;;;;;;;;
Samlet antal konger og dronninger ;55;;;;;;;;;;;;;
Gennemsnitlig regeringsperiode i antal år;19,1;;;;;;;;;;;;;
Antal konger eller droninger, som reagere over gennemsnittet ;27;;;;;;;;;;;;;
Antal konger eller droninger, som reagere under gennemsnittet ;27;;;;;;;;;;;;;