Key_id;Name;Start_of_reign;End_of_reign;Years_of_Reign;Middleyear
1;Gorm_den_gamle;936;958;22;947
2;Harald_Blåtand;958;987;29;973
3;Svend__Tveskæg;987;1014;27;1001
4;Harald_Svensen;1014;1018;4;1016
5;Knud_den_store;1018;1035;17;1027
6;Hardeknud;1035;1042;7;1039
7;Magnus_den_gode;1042;1047;5;1045
8;Svend_Estridsen;1047;1074;27;1061
9;Harald_Hén;1074;1080;6;1077
10;Knud_den_hellige;1080;1086;6;1083
11;Oluf_Hunger;1086;1095;9;1091
12;Erik_Ejegod;1095;1103;8;1099
13;Niels;1104;1134;30;1119
14;Erik_Emmune;1134;1137;3;1136
15;Erik_Lam;1137;1146;9;1142
16;Svend_Grathe,Knud_Magnussen,Valdemar_den_første;1146;1157;11;1152
17;Valdemar_den_første;1157;1182;25;1170
18;Knud_Magnussen;1182;1202;20;1192
19;Valdemar_den_anden;1202;1241;39;1222
20;Erik_Plovpenning;1241;1250;9;1246
21;Abel;1250;1252;2;1251
22;Christoffer_den_første;1252;1259;7;1256
23;Erik_Klipping;1259;1286;27;1273
24;Erik_Menved;1286;1319;33;1303
25;Christoffer_den_anden;1320;1326;6;1323
26;Valdemar_den_tredje;1326;1330;4;1328
27;Christoffer_den_anden;1330;1332;2;1331
28;Interregnum;1332;1340;8;1336
29;Valdemar_Atterdag;1340;1375;35;1358
30;Oluf_den_anden;1376;1387;11;1382
31;Margrete_den_første;1387;1412;25;1400
32;Erik_af_Pommeren;1412;1439;27;1426
33;Christoffer_den_tredje_af_Bayern;1440;1459;19;1450
34;Christian_den_første;1459;1481;22;1470
35;Hans;1481;1513;32;1497
36;Christian_den_anden;1513;1523;10;1518
37;Frederik_den_første;1523;1533;10;1528
38;Interregnum;1533;1534;1;1534
39;Christian_den_tredje;1534;1559;25;1547
40;Frederik_den_anden;1559;1588;29;1574
41;Christian_den_fjerde;1588;1648;60;1618
42;Frederik_den_tredje;1648;1670;22;1659
43;Christian_den_femte;1670;1699;29;1685
44;Frederik_den_fjerde;1699;1730;31;1715
45;Christian_den_sjette;1730;1746;16;1738
46;Frederik_den_femte;1746;1766;20;1756
47;Christian_den_syvende;1766;1808;42;1787
48;Frederik_den_sjette;1808;1839;31;1824
49;Christian_den_ottende;1839;1848;9;1844
50;Frederik_den_syvende;1848;1863;15;1856
51;Christian_den_niende;1863;1906;43;1885
52;Frederik_den_ottende;1906;1912;6;1909
53;Christian_den_tiende;1912;1947;35;1930
54;Frederik_den_niende;1947;1972;25;1960
55;Margrethe_den_anden;1972;-;-;-
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;